"gutenberg_id","title","author","lccn","wikipedia_url","publication_year"
"392","Jerusalem Delivered","Torquato Tasso","","https://en.wikipedia.org/wiki/Jerusalem_Delivered","1581"
"393","The Blue Lagoon: A Romance","H. De Vere Stacpoole","","https://en.wikipedia.org/wiki/The_Blue_Lagoon_(novel)","1908"
"394","Cranford","Elizabeth Cleghorn Gaskell","","https://en.wikipedia.org/wiki/Cranford_(novel)","1851"
"395","The Holy War, Made","King Shaddai Upon Diabolus, for the Regaining of the…","","https://en.wikipedia.org/wiki/The_Holy_War","1682"
"396","The Lady, or the Tiger?","Frank R. Stockton","","https://en.wikipedia.org/wiki/The_Lady,_or_the_Tiger%3F","1882"
"397","L'Allegro, Il Penseroso, Comus, and Lycidas","John Milton","","https://en.wikipedia.org/wiki/Il_Penseroso","1645"
"402","Penrod","Booth Tarkington","","https://en.wikipedia.org/wiki/Penrod","1914"
"408","The Souls of Black Folk","W. E. B. Du Bois","","https://en.wikipedia.org/wiki/The_Souls_of_Black_Folk","1903"
"409","Poems on various subjects, religious and moral","Phillis Wheatley","","https://en.wikipedia.org/wiki/Poems_on_Various_Subjects,_Religious_and_Moral","1773"
"415","The Bible in Spain","George Borrow","","https://en.wikipedia.org/wiki/The_Bible_in_Spain","1843"
"416","Winesburg, Ohio: A Group of Tales of Ohio Small Town Life","Sherwood Anderson","","https://en.wikipedia.org/wiki/Winesburg,_Ohio","1919"
"419","The Magic of Oz","L. Frank Baum","","https://en.wikipedia.org/wiki/The_Magic_of_Oz","1919"
"421","Kidnapped","Robert Louis Stevenson","","https://en.wikipedia.org/wiki/Kidnapped_(novel)","1886"
"422","The Romany Rye","George Borrow","","https://en.wikipedia.org/wiki/The_Romany_Rye","1857"
"423","Round the Red Lamp: Being Facts and Fancies of Medical Life","Arthur Conan Doyle","","https://en.wikipedia.org/wiki/Round_the_Red_Lamp","1894"
"426","Tales and Fantasies","Robert Louis Stevenson","","https://en.wikipedia.org/wiki/Tales_and_Fantasies","1905"
"432","The Ambassadors","Henry James","","https://en.wikipedia.org/wiki/The_Ambassadors","1903"
"434","The Circular Staircase","Mary Roberts Rinehart","","https://en.wikipedia.org/wiki/The_Circular_Staircase","1908"
"436","The Master Key","L. Frank Baum","","https://en.wikipedia.org/wiki/The_Master_Key_(Baum_novel)","1901"
"437","The Life of Lazarillo of Tormes: His Fortunes and Misfortunes as Told","…","","https://en.wikipedia.org/wiki/Lazarillo_de_Tormes","1554"
"438","Underwoods","Robert Louis Stevenson","","https://en.wikipedia.org/wiki/Underwoods","1887"
"439","The Vital Message","Arthur Conan Doyle","","https://en.wikipedia.org/wiki/The_Vital_Message","1919"
"440","Just David","Eleanor H. Porter","","https://en.wikipedia.org/wiki/Just_David","1916"
